min-cost,14,min-satisfactoin,77
max-cost,1037,max-satisfactoin,2656,HV,0.59929,Spread,0.40399,NDS,80
Cost,Satisfaction,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100
14,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,1,1,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,-0,0,-0,0,-0,-0,-0,0,0,0,0,-0
23,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,-0,-0,-0,-0,0,-0,1
31,175,0,0,0,0,0,0,-0,0,0,0,-0,0,-0,0,0,0,0,0,0,-0,1,1,0,0,0,0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,0,0,0,0,-0,0,-0,-0,0,-0,0,0,0,0,1,0,-0,-0,0,0,-0,0,0,0,-0,-0,0,-0,-0,0,-0,-0,1,1,1,1,0,-0,-0,-0,0,-0,-0,0,0,0,0,-0,0,-0,-0,-0,0,0,0,0,0,0,0,-0,-0,-0,0
34,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,227,0,0,-0,0,0,0,-0,-0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,1,1,0,1,1,-0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,1,-0,0,0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,1,1,-0,-0,1,-0,0
41,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,289,0,0,0,0,0,-0,0,0,1,0,-0,0,0,0,-0,0,0,1,1,1,1,1,1,1,1,-0,-0,0,-0,-0,-0,0,-0,-0,0,-0,-0,0,0,-0,-0,0,-0,-0,0,-0,-0,-0,-0,0,0,1,-0,0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,-0,-0,-0,0,0,0,-0,0,0,-0,0,0,0,0,-0,0,0,0,-0,0,0,-0,0,-0,0,0,0,0
55,309,-0,0,0,0,0,-0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0,1,1,1,1,1,1,1,1,0,-0,0,-0,-0,0,0,0,0,0,0,-0,0,0,-0,-0,0,0,0,0,0,0,1,-0,0,-0,1,0,-0,-0,-0,-0,-0,0,0,0,0,-0,0,0,0,-0,1,0,0,0,0,-0,0,-0,0,0,0,0,-0,0,0,0,-0,-0,0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,0
57,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
